Patient	Stat	window	sput.val	cult.val
Patient 2	pi	400000	1.5515e-05	7.766e-06
Patient 2	theta	400000	5.4878e-05	2.7482e-05
Patient 2	td	400000	-1.998348556	-1.921276415
Patient 2	pi	410000	1.5532e-05	7.59e-06
Patient 2	theta	410000	5.4739e-05	2.6859e-05
Patient 2	td	410000	-1.993649241	-1.914614068
Patient 2	pi	420000	1.6863e-05	7.177e-06
Patient 2	theta	420000	5.9464e-05	2.5398e-05
Patient 2	td	420000	-2.00107504	-1.915371924
Patient 2	pi	430000	1.6106e-05	6.541e-06
Patient 2	theta	430000	5.6792e-05	2.3148e-05
Patient 2	td	430000	-2.000854082	-1.899995928
Patient 2	pi	440000	1.5942e-05	7.281e-06
Patient 2	theta	440000	5.6218e-05	2.5764e-05
Patient 2	td	440000	-1.999936751	-1.923048354
Patient 2	pi	450000	1.8381e-05	9.914e-06
Patient 2	theta	450000	6.2943e-05	3.1446e-05
Patient 2	td	450000	-1.979440435	-1.859471124
Patient 2	pi	460000	2.0271e-05	1.1182e-05
Patient 2	theta	460000	6.9498e-05	3.5989e-05
Patient 2	td	460000	-1.983909898	-1.882232538
Patient 2	pi	470000	1.9595e-05	1.1828e-05
Patient 2	theta	470000	6.7101e-05	3.8206e-05
Patient 2	td	470000	-1.982016656	-1.89184287
Patient 2	pi	480000	2.1472e-05	1.252e-05
Patient 2	theta	480000	7.2459e-05	4.0861e-05
Patient 2	td	480000	-1.973433382	-1.919212368
Patient 2	pi	490000	2.0702e-05	1.2048e-05
Patient 2	theta	490000	6.9859e-05	3.935e-05
Patient 2	td	490000	-1.973714253	-1.919805035
Patient 2	pi	500000	1.9729e-05	1.2472e-05
Patient 2	theta	500000	6.6372e-05	4.0845e-05
Patient 2	td	500000	-1.968405135	-1.925234577
Patient 2	pi	510000	1.8332e-05	1.2471e-05
Patient 2	theta	510000	6.1706e-05	4.0969e-05
Patient 2	td	510000	-1.966755988	-1.931675723
Patient 2	pi	520000	1.7403e-05	1.2672e-05
Patient 2	theta	520000	5.8453e-05	4.1725e-05
Patient 2	td	520000	-1.964524108	-1.936445905
Patient 2	pi	530000	1.7303e-05	1.2857e-05
Patient 2	theta	530000	5.8165e-05	4.2448e-05
Patient 2	td	530000	-1.966150951	-1.941042192
Patient 2	pi	540000	1.6979e-05	1.2655e-05
Patient 2	theta	540000	5.6962e-05	4.162e-05
Patient 2	td	540000	-1.962839161	-1.932016748
Patient 2	pi	550000	1.5561e-05	1.0009e-05
Patient 2	theta	550000	5.3428e-05	3.5412e-05
Patient 2	td	550000	-1.982496633	-1.981176162
Patient 2	pi	560000	1.4431e-05	8.456e-06
Patient 2	theta	560000	4.9549e-05	2.9917e-05
Patient 2	td	560000	-1.975250215	-1.962959542
Patient 2	pi	570000	1.6248e-05	7.846e-06
Patient 2	theta	570000	5.5974e-05	2.7764e-05
Patient 2	td	570000	-1.986845244	-1.954048017
Patient 2	pi	580000	1.3888e-05	7.001e-06
Patient 2	theta	580000	4.8635e-05	2.4773e-05
Patient 2	td	580000	-1.989547567	-1.911555752
Patient 2	pi	590000	1.4233e-05	7.371e-06
Patient 2	theta	590000	4.9796e-05	2.6083e-05
Patient 2	td	590000	-1.982608505	-1.874442904
Patient 2	pi	600000	1.4189e-05	8.935e-06
Patient 2	theta	600000	4.9634e-05	3.1614e-05
Patient 2	td	600000	-1.981651546	-1.925269988
Patient 2	pi	610000	1.4757e-05	1.0793e-05
Patient 2	theta	610000	5.1645e-05	3.8185e-05
Patient 2	td	610000	-1.985515783	-1.957917068
Patient 2	pi	620000	1.3628e-05	1.0067e-05
Patient 2	theta	620000	4.7649e-05	3.5616e-05
Patient 2	td	620000	-1.981099994	-1.941720553
Patient 2	pi	630000	1.3675e-05	1.0281e-05
Patient 2	theta	630000	4.778e-05	3.6376e-05
Patient 2	td	630000	-1.973958354	-1.937757501
Patient 2	pi	640000	1.2636e-05	1.0554e-05
Patient 2	theta	640000	4.412e-05	3.7341e-05
Patient 2	td	640000	-1.953280458	-1.957283179
Patient 2	pi	650000	1.2369e-05	1.0537e-05
Patient 2	theta	650000	4.3372e-05	3.728e-05
Patient 2	td	650000	-1.964277966	-1.963516696
Patient 2	pi	660000	1.3183e-05	1.0595e-05
Patient 2	theta	660000	4.6246e-05	3.7484e-05
Patient 2	td	660000	-1.968216948	-1.961018996
Patient 2	pi	670000	1.1281e-05	1.0255e-05
Patient 2	theta	670000	3.9511e-05	3.6282e-05
Patient 2	td	670000	-1.958148286	-1.957355517
Patient 2	pi	680000	1.108e-05	9.946e-06
Patient 2	theta	680000	3.921e-05	3.519e-05
Patient 2	td	680000	-1.975431085	-1.959326715
Patient 2	pi	690000	1.1276e-05	9.212e-06
Patient 2	theta	690000	3.9902e-05	3.2587e-05
Patient 2	td	690000	-1.988307441	-1.963371683
Patient 2	pi	700000	1.2666e-05	6.928e-06
Patient 2	theta	700000	4.4822e-05	2.4508e-05
Patient 2	td	700000	-1.994288813	-1.913261484
Patient 2	pi	710000	1.2762e-05	5.928e-06
Patient 2	theta	710000	4.5162e-05	2.0973e-05
Patient 2	td	710000	-1.994063503	-1.837125819
Patient 2	pi	720000	1.2831e-05	6.463e-06
Patient 2	theta	720000	4.5406e-05	2.2863e-05
Patient 2	td	720000	-1.994287826	-1.883669458
Patient 2	pi	730000	1.188e-05	6.585e-06
Patient 2	theta	730000	4.2039e-05	2.3297e-05
Patient 2	td	730000	-1.993087993	-1.90198089
Patient 2	pi	740000	1.3213e-05	5.83e-06
Patient 2	theta	740000	4.6757e-05	2.0625e-05
Patient 2	td	740000	-1.998952296	-1.864719433
Patient 2	pi	750000	1.3599e-05	6.969e-06
Patient 2	theta	750000	4.8117e-05	2.4654e-05
Patient 2	td	750000	-2.002311099	-1.914901722
Patient 2	pi	760000	1.2053e-05	7.27e-06
Patient 2	theta	760000	4.2645e-05	2.5721e-05
Patient 2	td	760000	-2.000286883	-1.934670856
Patient 2	pi	770000	1.2396e-05	7.61e-06
Patient 2	theta	770000	4.3708e-05	2.6925e-05
Patient 2	td	770000	-1.99958842	-1.943693599
Patient 2	pi	780000	1.2406e-05	8.293e-06
Patient 2	theta	780000	4.3749e-05	2.9342e-05
Patient 2	td	780000	-2.000461538	-1.966566357
Patient 2	pi	790000	1.1763e-05	9.072e-06
Patient 2	theta	790000	4.1462e-05	3.2102e-05
Patient 2	td	790000	-1.99520087	-1.973629033
Patient 2	pi	800000	1.114e-05	1.0898e-05
Patient 2	theta	800000	3.9255e-05	3.8565e-05
Patient 2	td	800000	-1.991347755	-1.988503387
Patient 2	pi	810000	1.1357e-05	1.039e-05
Patient 2	theta	810000	4.0025e-05	3.6767e-05
Patient 2	td	810000	-1.991820212	-1.985644897
Patient 2	pi	820000	1.2684e-05	1.0832e-05
Patient 2	theta	820000	4.4559e-05	3.8331e-05
Patient 2	td	820000	-1.994347411	-1.989470983
Patient 2	pi	830000	1.3574e-05	1.0798e-05
Patient 2	theta	830000	4.7702e-05	3.8211e-05
Patient 2	td	830000	-1.996822647	-1.990411107
Patient 2	pi	840000	1.3657e-05	2.054e-05
Patient 2	theta	840000	4.7667e-05	4.9168e-05
Patient 2	td	840000	-1.989981347	-1.612440599
Patient 2	pi	850000	1.318e-05	1.9091e-05
Patient 2	theta	850000	4.5966e-05	4.3455e-05
Patient 2	td	850000	-1.979867009	-1.543915814
Patient 2	pi	860000	1.3734e-05	1.972e-05
Patient 2	theta	860000	4.7407e-05	4.5415e-05
Patient 2	td	860000	-1.973583978	-1.557485956
Patient 2	pi	870000	1.3125e-05	1.9313e-05
Patient 2	theta	870000	4.5419e-05	4.3828e-05
Patient 2	td	870000	-1.973332972	-1.537388691
Patient 2	pi	880000	1.2895e-05	1.89e-05
Patient 2	theta	880000	4.454e-05	4.1068e-05
Patient 2	td	880000	-1.968818293	-1.483659605
Patient 2	pi	890000	1.3641e-05	1.8083e-05
Patient 2	theta	890000	4.7246e-05	3.9751e-05
Patient 2	td	890000	-1.981838281	-1.491733461
Patient 2	pi	900000	1.3012e-05	1.6597e-05
Patient 2	theta	900000	4.5076e-05	3.5831e-05
Patient 2	td	900000	-1.983225974	-1.452834788
Patient 2	pi	910000	1.2351e-05	1.7103e-05
Patient 2	theta	910000	4.2733e-05	3.7462e-05
Patient 2	td	910000	-1.978914717	-1.479692541
Patient 2	pi	920000	1.1741e-05	1.788e-05
Patient 2	theta	920000	4.0385e-05	3.9437e-05
Patient 2	td	920000	-1.966120374	-1.499726525
Patient 2	pi	930000	1.2757e-05	1.8374e-05
Patient 2	theta	930000	4.3966e-05	4.042e-05
Patient 2	td	930000	-1.974503917	-1.4919203
Patient 2	pi	940000	1.2089e-05	8.59e-06
Patient 2	theta	940000	4.1949e-05	3.0052e-05
Patient 2	td	940000	-1.97978422	-1.958500429
Patient 2	pi	950000	1.2097e-05	8.394e-06
Patient 2	theta	950000	4.1996e-05	2.9368e-05
Patient 2	td	950000	-1.98063709	-1.960041997
Patient 2	pi	960000	1.1657e-05	7.46e-06
Patient 2	theta	960000	4.0926e-05	2.6058e-05
Patient 2	td	960000	-1.989907212	-1.942831357
Patient 2	pi	970000	1.1324e-05	7.924e-06
Patient 2	theta	970000	3.9748e-05	2.7701e-05
Patient 2	td	970000	-1.989204889	-1.952006455
Patient 2	pi	980000	1.122e-05	8.21e-06
Patient 2	theta	980000	3.9385e-05	2.8715e-05
Patient 2	td	980000	-1.988183605	-1.95871154
Patient 2	pi	990000	1.0659e-05	7.447e-06
Patient 2	theta	990000	3.7403e-05	2.6176e-05
Patient 2	td	990000	-1.983321586	-1.952349582
Patient 2	pi	1000000	1.1667e-05	7.53e-06
Patient 2	theta	1000000	4.097e-05	2.6451e-05
Patient 2	td	1000000	-1.988575757	-1.951882001
Patient 2	pi	1010000	1.2297e-05	6.875e-06
Patient 2	theta	1010000	4.3198e-05	2.4139e-05
Patient 2	td	1010000	-1.991431174	-1.940640681
Patient 2	pi	1020000	1.3514e-05	5.778e-06
Patient 2	theta	1020000	4.7819e-05	2.0263e-05
Patient 2	td	1020000	-2.002772585	-1.882784838
Patient 2	pi	1030000	1.2937e-05	4.915e-06
Patient 2	theta	1030000	4.5774e-05	1.7368e-05
Patient 2	td	1030000	-2.001298095	-1.86427883
Patient 2	pi	1040000	1.4419e-05	5.121e-06
Patient 2	theta	1040000	5.1021e-05	1.8096e-05
Patient 2	td	1040000	-2.006072811	-1.884256131
Patient 2	pi	1050000	1.5143e-05	5.336e-06
Patient 2	theta	1050000	5.358e-05	1.8857e-05
Patient 2	td	1050000	-2.006015343	-1.891936211
Patient 2	pi	1060000	1.5466e-05	5.44e-06
Patient 2	theta	1060000	5.4723e-05	1.9217e-05
Patient 2	td	1060000	-2.007039708	-1.895658828
Patient 2	pi	1070000	1.4868e-05	5.384e-06
Patient 2	theta	1070000	5.2608e-05	1.8854e-05
Patient 2	td	1070000	-2.005996917	-1.883177923
Patient 2	pi	1080000	1.557e-05	5.481e-06
Patient 2	theta	1080000	5.5091e-05	1.9204e-05
Patient 2	td	1080000	-2.008369253	-1.890342505
Patient 2	pi	1090000	1.543e-05	5.385e-06
Patient 2	theta	1090000	5.4597e-05	1.887e-05
Patient 2	td	1090000	-2.008159387	-1.882509858
Patient 2	pi	1100000	1.3903e-05	4.359e-06
Patient 2	theta	1100000	4.9194e-05	1.5256e-05
Patient 2	td	1100000	-2.004908677	-1.796565371
Patient 2	pi	1110000	1.3103e-05	4.451e-06
Patient 2	theta	1110000	4.6368e-05	1.5417e-05
Patient 2	td	1110000	-2.002492166	-1.749783265
Patient 2	pi	1120000	1.1628e-05	4.279e-06
Patient 2	theta	1120000	4.1147e-05	1.4789e-05
Patient 2	td	1120000	-1.994267359	-1.703641263
Patient 2	pi	1130000	1.1665e-05	5.105e-06
Patient 2	theta	1130000	4.128e-05	1.7715e-05
Patient 2	td	1130000	-1.990514636	-1.782004689
Patient 2	pi	1140000	9.686e-06	4.317e-06
Patient 2	theta	1140000	3.4276e-05	1.4921e-05
Patient 2	td	1140000	-1.973274547	-1.715130317
Patient 2	pi	1150000	9.346e-06	4.123e-06
Patient 2	theta	1150000	3.3072e-05	1.4252e-05
Patient 2	td	1150000	-1.977229524	-1.72741515
Patient 2	pi	1160000	8.775e-06	4.077e-06
Patient 2	theta	1160000	3.1045e-05	1.409e-05
Patient 2	td	1160000	-1.966129622	-1.685459891
Patient 2	pi	1170000	1.0131e-05	4.202e-06
Patient 2	theta	1170000	3.5846e-05	1.4687e-05
Patient 2	td	1170000	-1.974021474	-1.608286329
Patient 2	pi	1180000	1.09e-05	4.54e-06
Patient 2	theta	1180000	3.8567e-05	1.5887e-05
Patient 2	td	1180000	-1.986401842	-1.802293507
Patient 2	pi	1190000	1.1607e-05	4.523e-06
Patient 2	theta	1190000	4.107e-05	1.5828e-05
Patient 2	td	1190000	-1.988509633	-1.794408369
Patient 2	pi	1200000	1.3396e-05	5.578e-06
Patient 2	theta	1200000	4.7397e-05	1.9562e-05
Patient 2	td	1200000	-1.998231295	-1.857102288
Patient 2	pi	1210000	1.5094e-05	6.176e-06
Patient 2	theta	1210000	5.3061e-05	2.1855e-05
Patient 2	td	1210000	-1.998925399	-1.905090275
Patient 2	pi	1220000	1.6842e-05	5.987e-06
Patient 2	theta	1220000	5.9257e-05	2.1185e-05
Patient 2	td	1220000	-2.003026089	-1.901213043
Patient 2	pi	1230000	1.7789e-05	6.288e-06
Patient 2	theta	1230000	6.2605e-05	2.2253e-05
Patient 2	td	1230000	-2.003941971	-1.91378183
Patient 2	pi	1240000	1.7423e-05	6.578e-06
Patient 2	theta	1240000	6.1317e-05	2.3276e-05
Patient 2	td	1240000	-2.003488944	-1.92360773
Patient 2	pi	1250000	2.4261e-05	1.1172e-05
Patient 2	theta	1250000	7.8582e-05	3.463e-05
Patient 2	td	1250000	-1.938706079	-1.862201052
Patient 2	pi	1260000	2.4681e-05	1.2144e-05
Patient 2	theta	1260000	8.0035e-05	3.8051e-05
Patient 2	td	1260000	-1.940352574	-1.886564096
Patient 2	pi	1270000	2.4188e-05	1.3137e-05
Patient 2	theta	1270000	7.8546e-05	4.1835e-05
Patient 2	td	1270000	-1.942391549	-1.910926929
Patient 2	pi	1280000	2.2751e-05	1.2873e-05
Patient 2	theta	1280000	7.3467e-05	4.0744e-05
Patient 2	td	1280000	-1.93443574	-1.905002245
Patient 2	pi	1290000	2.3184e-05	1.3637e-05
Patient 2	theta	1290000	7.4805e-05	4.3274e-05
Patient 2	td	1290000	-1.933491408	-1.908967877
Patient 2	pi	1300000	2.2157e-05	1.3658e-05
Patient 2	theta	1300000	7.0894e-05	4.3111e-05
Patient 2	td	1300000	-1.923522163	-1.902598692
Patient 2	pi	1310000	2.164e-05	1.3302e-05
Patient 2	theta	1310000	6.9255e-05	4.1865e-05
Patient 2	td	1310000	-1.922714731	-1.897854967
Patient 2	pi	1320000	2.0064e-05	1.3485e-05
Patient 2	theta	1320000	6.3736e-05	4.2483e-05
Patient 2	td	1320000	-1.914467548	-1.900490773
Patient 2	pi	1330000	1.9917e-05	1.2205e-05
Patient 2	theta	1330000	6.3409e-05	3.8089e-05
Patient 2	td	1330000	-1.918872567	-1.887121535
Patient 2	pi	1340000	2.0106e-05	1.3306e-05
Patient 2	theta	1340000	6.3756e-05	4.192e-05
Patient 2	td	1340000	-1.91444463	-1.899334048
Patient 2	pi	1350000	1.3243e-05	9.59e-06
Patient 2	theta	1350000	4.6361e-05	3.3765e-05
Patient 2	td	1350000	-1.990303124	-1.974692345
Patient 2	pi	1360000	1.31e-05	8.568e-06
Patient 2	theta	1360000	4.5862e-05	3.0151e-05
Patient 2	td	1360000	-1.989226193	-1.961715405
Patient 2	pi	1370000	3.0986e-05	2.1936e-05
Patient 2	theta	1370000	5.441e-05	4.0311e-05
Patient 2	td	1370000	-1.178346306	-1.254738177
Patient 2	pi	1380000	3.1722e-05	2.1717e-05
Patient 2	theta	1380000	5.6226e-05	3.9117e-05
Patient 2	td	1380000	-1.201263455	-1.2121487
Patient 2	pi	1390000	3.1694e-05	2.1288e-05
Patient 2	theta	1390000	5.7692e-05	3.9035e-05
Patient 2	td	1390000	-1.244542286	-1.241132798
Patient 2	pi	1400000	3.1802e-05	2.0006e-05
Patient 2	theta	1400000	5.9864e-05	3.6198e-05
Patient 2	td	1400000	-1.289548957	-1.231275551
Patient 2	pi	1410000	3.1531e-05	2.0896e-05
Patient 2	theta	1410000	5.9353e-05	3.9598e-05
Patient 2	td	1410000	-1.286461669	-1.300357206
Patient 2	pi	1420000	3.1613e-05	2.1565e-05
Patient 2	theta	1420000	5.9509e-05	4.2392e-05
Patient 2	td	1420000	-1.2886216	-1.355262676
Patient 2	pi	1430000	3.1014e-05	2.2475e-05
Patient 2	theta	1430000	5.6376e-05	4.4925e-05
Patient 2	td	1430000	-1.227971466	-1.38310127
Patient 2	pi	1440000	3.105e-05	2.269e-05
Patient 2	theta	1440000	5.6839e-05	4.5702e-05
Patient 2	td	1440000	-1.229819063	-1.391728377
Patient 2	pi	1450000	3.1245e-05	2.2132e-05
Patient 2	theta	1450000	5.728e-05	4.3717e-05
Patient 2	td	1450000	-1.231370939	-1.349478627
Patient 2	pi	1460000	3.1681e-05	2.2185e-05
Patient 2	theta	1460000	5.8634e-05	4.3674e-05
Patient 2	td	1460000	-1.248934549	-1.341937903
Patient 2	pi	1470000	1.3276e-05	9.271e-06
Patient 2	theta	1470000	4.6363e-05	3.2647e-05
Patient 2	td	1470000	-1.988361377	-1.969497387
Patient 2	pi	1480000	1.29e-05	9.185e-06
Patient 2	theta	1480000	4.5041e-05	3.2343e-05
Patient 2	td	1480000	-1.988920362	-1.970491666
Patient 2	pi	1490000	1.1967e-05	8.777e-06
Patient 2	theta	1490000	4.1731e-05	3.0903e-05
Patient 2	td	1490000	-1.985178452	-1.945203209
Patient 2	pi	1500000	1.2052e-05	9.35e-06
Patient 2	theta	1500000	4.218e-05	3.2928e-05
Patient 2	td	1500000	-1.986456859	-1.96912229
Patient 2	pi	1510000	1.1609e-05	8.081e-06
Patient 2	theta	1510000	4.0768e-05	2.8437e-05
Patient 2	td	1510000	-1.986705448	-1.9535688
Patient 2	pi	1520000	1.1974e-05	7.34e-06
Patient 2	theta	1520000	4.2054e-05	2.5808e-05
Patient 2	td	1520000	-1.987939142	-1.943342289
Patient 2	pi	1530000	1.2509e-05	7.358e-06
Patient 2	theta	1530000	4.3946e-05	2.5873e-05
Patient 2	td	1530000	-1.991693	-1.929785302
Patient 2	pi	1540000	1.4866e-05	7.017e-06
Patient 2	theta	1540000	5.165e-05	2.4829e-05
Patient 2	td	1540000	-1.9902865	-1.929348408
Patient 2	pi	1550000	1.6232e-05	6.832e-06
Patient 2	theta	1550000	5.6646e-05	2.417e-05
Patient 2	td	1550000	-1.996998409	-1.926375503
Patient 2	pi	1560000	1.6157e-05	7.262e-06
Patient 2	theta	1560000	5.6533e-05	2.5692e-05
Patient 2	td	1560000	-1.998338204	-1.938722067
Patient 2	pi	1570000	1.7592e-05	6.201e-06
Patient 2	theta	1570000	6.1597e-05	2.1939e-05
Patient 2	td	1570000	-2.001096114	-1.90082422
Patient 2	pi	1580000	1.7533e-05	7.815e-06
Patient 2	theta	1580000	6.1384e-05	2.7648e-05
Patient 2	td	1580000	-2.001407528	-1.952009154
Patient 2	pi	1590000	1.8257e-05	8.157e-06
Patient 2	theta	1590000	6.3888e-05	2.8859e-05
Patient 2	td	1590000	-2.000596736	-1.94776689
Patient 2	pi	1600000	1.6653e-05	7.852e-06
Patient 2	theta	1600000	5.8219e-05	2.7778e-05
Patient 2	td	1600000	-1.997605065	-1.931476472
Patient 2	pi	1610000	1.652e-05	7.701e-06
Patient 2	theta	1610000	5.7739e-05	2.7244e-05
Patient 2	td	1610000	-1.996380728	-1.932248936
Patient 2	pi	1620000	1.6035e-05	7.528e-06
Patient 2	theta	1620000	5.5876e-05	2.6635e-05
Patient 2	td	1620000	-1.993089261	-1.93378153
Patient 2	pi	1630000	1.4399e-05	8.016e-06
Patient 2	theta	1630000	5.0117e-05	2.836e-05
Patient 2	td	1630000	-1.989875119	-1.953266684
Patient 2	pi	1640000	1.2591e-05	7.6e-06
Patient 2	theta	1640000	4.438e-05	2.6886e-05
Patient 2	td	1640000	-1.99233	-1.95598421
Patient 2	pi	1650000	1.0861e-05	7.462e-06
Patient 2	theta	1650000	3.8259e-05	2.6406e-05
Patient 2	td	1650000	-1.977391725	-1.951764177
Patient 2	pi	1660000	1.0796e-05	7.374e-06
Patient 2	theta	1660000	3.8028e-05	2.6095e-05
Patient 2	td	1660000	-1.982197835	-1.943825265
Patient 2	pi	1670000	1.0241e-05	7.259e-06
Patient 2	theta	1670000	3.6066e-05	2.5686e-05
Patient 2	td	1670000	-1.976273809	-1.939112008
Patient 2	pi	1680000	1.0673e-05	5.983e-06
Patient 2	theta	1680000	3.7593e-05	2.1171e-05
Patient 2	td	1680000	-1.98339549	-1.916518168
Patient 2	pi	1690000	1.0559e-05	5.491e-06
Patient 2	theta	1690000	3.721e-05	1.9429e-05
Patient 2	td	1690000	-1.988138695	-1.917082804
Patient 2	pi	1700000	1.3781e-05	5.971e-06
Patient 2	theta	1700000	4.4058e-05	2.0682e-05
Patient 2	td	1700000	-1.917515151	-1.912473639
Patient 2	pi	1710000	1.3916e-05	6.444e-06
Patient 2	theta	1710000	4.452e-05	2.2355e-05
Patient 2	td	1710000	-1.918244575	-1.923899762
Patient 2	pi	1720000	1.3939e-05	6.795e-06
Patient 2	theta	1720000	4.4758e-05	2.3597e-05
Patient 2	td	1720000	-1.92320819	-1.931302036
Patient 2	pi	1730000	1.5365e-05	6.279e-06
Patient 2	theta	1730000	4.9666e-05	2.1757e-05
Patient 2	td	1730000	-1.931697223	-1.915399864
Patient 2	pi	1740000	1.5356e-05	5.855e-06
Patient 2	theta	1740000	4.917e-05	2.0212e-05
Patient 2	td	1740000	-1.919310069	-1.862655493
Patient 2	pi	1750000	1.6305e-05	5.952e-06
Patient 2	theta	1750000	5.2483e-05	2.0545e-05
Patient 2	td	1750000	-1.926591702	-1.873398116
Patient 2	pi	1760000	1.6012e-05	5.302e-06
